count,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,year,month,day,dayofweek,hour
2.83321334405622,1,0,0,1,9.84,14.395,81,0,2011,1,1,5,0
3.71357206670431,1,0,0,1,9.02,13.635,80,0,2011,1,1,5,1
3.49650756146648,1,0,0,1,9.02,13.635,80,0,2011,1,1,5,2
2.63905732961526,1,0,0,1,9.84,14.395,75,0,2011,1,1,5,3
0.693147180559945,1,0,0,1,9.84,14.395,75,0,2011,1,1,5,4
0.693147180559945,1,0,0,2,9.84,12.88,75,6.0032,2011,1,1,5,5
1.09861228866811,1,0,0,1,9.02,13.635,80,0,2011,1,1,5,6
1.38629436111989,1,0,0,1,8.2,12.88,86,0,2011,1,1,5,7
2.19722457733622,1,0,0,1,9.84,14.395,75,0,2011,1,1,5,8
2.70805020110221,1,0,0,1,13.12,17.425,76,0,2011,1,1,5,9
3.61091791264422,1,0,0,1,15.58,19.695,76,16.9979,2011,1,1,5,10
4.04305126783455,1,0,0,1,14.76,16.665,81,19.0012,2011,1,1,5,11
4.44265125649032,1,0,0,1,17.22,21.21,77,19.0012,2011,1,1,5,12
4.55387689160054,1,0,0,2,18.86,22.725,72,19.9995,2011,1,1,5,13
4.67282883446191,1,0,0,2,18.86,22.725,72,19.0012,2011,1,1,5,14
4.70953020131233,1,0,0,2,18.04,21.97,77,19.9995,2011,1,1,5,15
4.54329478227,1,0,0,2,17.22,21.21,82,19.9995,2011,1,1,5,16
4.21950770517611,1,0,0,2,18.04,21.97,82,19.0012,2011,1,1,5,17
3.58351893845611,1,0,0,3,17.22,21.21,88,16.9979,2011,1,1,5,18
3.63758615972639,1,0,0,3,17.22,21.21,88,16.9979,2011,1,1,5,19
3.61091791264422,1,0,0,2,16.4,20.455,87,16.9979,2011,1,1,5,20
3.55534806148941,1,0,0,2,16.4,20.455,87,12.998,2011,1,1,5,21
3.36729582998647,1,0,0,2,16.4,20.455,94,15.0013,2011,1,1,5,22
3.68887945411394,1,0,0,2,18.86,22.725,88,19.9995,2011,1,1,5,23
2.89037175789616,1,0,0,2,18.86,22.725,88,19.9995,2011,1,2,6,0
2.89037175789616,1,0,0,2,18.04,21.97,94,16.9979,2011,1,2,6,1
2.30258509299405,1,0,0,2,17.22,21.21,100,19.0012,2011,1,2,6,2
1.94591014905531,1,0,0,2,18.86,22.725,94,12.998,2011,1,2,6,3
1.38629436111989,1,0,0,2,18.86,22.725,94,12.998,2011,1,2,6,4
1.09861228866811,1,0,0,3,17.22,21.21,77,19.9995,2011,1,2,6,6
0.693147180559945,1,0,0,2,16.4,20.455,76,12.998,2011,1,2,6,7
2.19722457733622,1,0,0,3,16.4,20.455,71,15.0013,2011,1,2,6,8
